Date,Price,Open,High,Low,Vol.,Change %,Bank
06/13/2023,"19,300.0","18,700.0","19,400.0","18,650.0",2.89M,3.76%,CTS
06/12/2023,"18,600.0","18,800.0","18,950.0","18,150.0",1.27M,-1.06%,CTS
06/09/2023,"18,800.0","18,350.0","18,800.0","18,300.0",1.53M,2.73%,CTS
06/08/2023,"18,300.0","19,100.0","19,200.0","18,300.0",2.35M,-4.19%,CTS
06/07/2023,"19,100.0","19,300.0","19,400.0","18,900.0",1.23M,-0.52%,CTS
06/06/2023,"19,200.0","18,600.0","19,350.0","18,350.0",3.02M,2.67%,CTS
06/05/2023,"18,700.0","19,450.0","19,600.0","18,600.0",2.80M,-3.61%,CTS
06/02/2023,"19,400.0","19,500.0","19,800.0","19,350.0",1.98M,0.26%,CTS
06/01/2023,"19,350.0","18,900.0","19,450.0","18,700.0",2.38M,1.04%,CTS
05/31/2023,"19,150.0","19,400.0","19,550.0","18,900.0",1.66M,-1.03%,CTS
05/30/2023,"19,350.0","19,300.0","19,800.0","18,750.0",2.42M,1.57%,CTS
05/29/2023,"19,050.0","18,900.0","19,250.0","18,700.0",2.07M,1.33%,CTS
05/26/2023,"18,800.0","18,650.0","19,250.0","18,600.0",1.73M,1.08%,CTS
05/25/2023,"18,600.0","19,000.0","19,000.0","18,300.0",2.09M,-2.11%,CTS
05/24/2023,"19,000.0","18,200.0","19,150.0","18,050.0",4.07M,6.15%,CTS
05/23/2023,"17,900.0","17,800.0","18,350.0","17,650.0",3.65M,1.42%,CTS
05/22/2023,"17,650.0","17,750.0","17,850.0","17,450.0",2.39M,1.73%,CTS
05/19/2023,"17,350.0","17,200.0","17,450.0","17,000.0",1.85M,1.17%,CTS
05/18/2023,"17,150.0","16,850.0","17,550.0","16,600.0",2.14M,3.00%,CTS
05/17/2023,"16,650.0","17,250.0","17,350.0","16,600.0",2.36M,-3.76%,CTS
05/16/2023,"17,300.0","17,100.0","17,300.0","16,850.0",1.40M,1.76%,CTS
05/15/2023,"17,000.0","17,850.0","17,900.0","17,000.0",1.99M,-4.23%,CTS
05/12/2023,"17,750.0","17,350.0","17,750.0","17,250.0",2.09M,2.31%,CTS
05/11/2023,"17,350.0","17,050.0","17,650.0","17,000.0",2.99M,2.06%,CTS
05/10/2023,"17,000.0","17,000.0","17,200.0","16,900.0",1.96M,0.59%,CTS
05/09/2023,"16,900.0","17,200.0","17,200.0","16,700.0",1.20M,-0.59%,CTS
05/08/2023,"17,000.0","16,800.0","17,200.0","16,750.0",2.42M,1.49%,CTS
05/05/2023,"16,750.0","16,900.0","17,050.0","16,500.0",1.14M,-0.89%,CTS
05/04/2023,"16,900.0","16,500.0","17,100.0","16,350.0",1.87M,1.81%,CTS
04/28/2023,"16,600.0","16,500.0","16,700.0","16,150.0",1.43M,2.15%,CTS
04/27/2023,"16,250.0","16,450.0","16,450.0","16,100.0",1.29M,-0.91%,CTS
04/26/2023,"16,400.0","16,000.0","16,400.0","15,800.0",1.35M,2.50%,CTS
04/25/2023,"16,000.0","17,300.0","17,300.0","16,000.0",4.18M,-6.98%,CTS
04/24/2023,"17,200.0","17,500.0","17,650.0","17,100.0",1.32M,-1.43%,CTS
04/21/2023,"17,450.0","16,900.0","17,900.0","16,800.0",2.90M,3.56%,CTS
04/20/2023,"16,850.0","17,100.0","17,250.0","16,650.0",1.65M,-2.03%,CTS
04/19/2023,"17,200.0","17,800.0","18,150.0","17,050.0",2.88M,-2.55%,CTS
04/18/2023,"17,650.0","16,800.0","17,650.0","16,500.0",3.38M,6.01%,CTS
04/17/2023,"16,650.0","16,400.0","16,900.0","16,350.0",1.18M,1.52%,CTS
04/14/2023,"16,400.0","16,900.0","17,200.0","16,400.0",2.06M,-1.80%,CTS
04/13/2023,"16,700.0","17,100.0","17,100.0","16,550.0",1.73M,-1.76%,CTS
04/12/2023,"17,000.0","17,550.0","17,750.0","16,900.0",1.73M,-4.49%,CTS
04/11/2023,"17,800.0","17,400.0","17,800.0","16,600.0",2.39M,2.30%,CTS
04/10/2023,"17,400.0","18,000.0","18,300.0","16,900.0",2.31M,-1.14%,CTS
04/07/2023,"17,600.0","16,800.0","17,650.0","16,500.0",3.70M,6.67%,CTS
04/06/2023,"16,500.0","17,500.0","17,700.0","16,400.0",2.95M,-4.62%,CTS
04/05/2023,"17,300.0","17,250.0","17,400.0","16,900.0",2.27M,0.00%,CTS
04/04/2023,"17,300.0","16,750.0","17,450.0","16,750.0",3.37M,1.17%,CTS
04/03/2023,"17,100.0","17,200.0","17,400.0","16,800.0",2.11M,2.09%,CTS
03/31/2023,"16,750.0","15,850.0","16,750.0","15,600.0",3.55M,6.01%,CTS
03/30/2023,"15,800.0","16,450.0","16,450.0","15,800.0",2.27M,-1.25%,CTS
03/29/2023,"16,000.0","15,450.0","16,000.0","15,400.0",2.56M,3.90%,CTS
03/28/2023,"15,400.0","15,500.0","15,800.0","15,150.0",3.06M,0.33%,CTS
03/27/2023,"15,350.0","14,900.0","15,600.0","14,850.0",2.43M,3.02%,CTS
03/24/2023,"14,900.0","15,300.0","15,450.0","14,850.0",2.04M,-0.67%,CTS
03/23/2023,"15,000.0","14,050.0","15,100.0","14,000.0",2.90M,4.90%,CTS
03/22/2023,"14,300.0","14,400.0","14,600.0","14,150.0",2.16M,0.70%,CTS
03/21/2023,"14,200.0","13,650.0","14,200.0","13,350.0",1.49M,5.58%,CTS
03/20/2023,"13,450.0","13,800.0","14,200.0","13,450.0",1.73M,-2.89%,CTS
03/17/2023,"13,850.0","14,300.0","14,300.0","13,750.0",1.18M,-0.36%,CTS
03/16/2023,"13,900.0","13,600.0","14,150.0","13,550.0",3.44M,2.96%,CTS
03/15/2023,"13,500.0","13,250.0","13,500.0","13,100.0",1.26M,6.72%,CTS
03/14/2023,"12,650.0","13,300.0","13,300.0","12,550.0",1.19M,-3.44%,CTS
03/13/2023,"13,100.0","13,000.0","13,500.0","12,900.0",1.07M,-2.24%,CTS
03/10/2023,"13,400.0","13,200.0","13,500.0","13,100.0",789.20K,0.00%,CTS
03/09/2023,"13,400.0","13,450.0","13,600.0","13,350.0",1.21M,0.75%,CTS
